RegionName,City,State,Metro,CountyName,SizeRank,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06
Hamilton Heights,New York,NY,New York,New York,99,,,,,,,,,,,1395,1395,1375,1385,1400,1495,1537.5,1500,1500,1525,1450,1500,1497.5,1477.5,1500,1525,1525,1550,1500,1550,1550,1550,1537.5,1575,1525,1550,1550,1600,1600,1645,1600,1600,1600,1595,1550,1560,1595,1600,1600,1650,1695,1650,1700,1700,1700,1695,1685,1699.5,1665,1654,1685,1675,1690,1750,1750,1734.5,1750,1700,1700,1750,1749.5,1697.5,1725,1750,1700,1700,1700,1750,1700,1750,1750,1750,1770,1770,1750,1770,1825,1800,1750,1775,1750,1750,1750,1862.5,1850,1850,1900,1895
Chelsea,New York,NY,New York,New York,103,,,,,,,,,2822.5,2700,3000,3000,3095,2975,2995,3000,3050,3150,3399.5,3300,3400,3332.5,3300,3300,3397.5,3300,3362.5,3350,3325,3300,3350,3300,3300,3295,3300,3400,3350,3300,3395,3400,3490,3495,3395,3400,3400,3320,3377.5,3350,3400,3440,3650,3695,3790,3700,3600,3700,3795,3750,3750,3820,3780,3700,3648,3725,3700,3795,3650,3672.5,3780,3700,3700,3650,3765,3797.5,3590,3712.5,3600,3550,3692,3600,3575,3688,3750,3800,3850,3775,3739.5,3755,3792,3795,3795,3750,3850,3837,3882.5,3835,3795,3795
Woodside,New York,NY,New York,Queens,105,,,,,,,,,,,,,,1405,1425,1415,1437.5,1425,1525,1495,1500,1485,1475,1475,1495,1495,1500,1450,1500,1475,1500,1475,1500,1525,1525,1545,1525,1550,1625,1650,1612.5,1600,1595,1550,1650,1700,1750,1750,1700,1700,1700,1650,1700,1725,1695,1695,1725,1750,1695,1700,1700,1725,1750,1750,1750,1750,1750,1750,1750,1749,1750,1750,1700,1700,1725,1750,1750,1667.5,1700,1750,1785,1700,1700,1725,1700,1700,1700,1750,1700,1675,1650,1690,1660,1660,1750,1775,1762.5,1750
Fordham,New York,NY,New York,Bronx,112,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1025,1000,1000,1000,1000,1000,1000,1050,1095,1098,1050,1015,1100,1150,1200,1150,1100,1150,1150,1100,1100,1100,1100,1150,1150,1150,1150,1175,1199,1195,1167.5,1195,1195,1200,1200,1250,1275,1250,1250,1300,1347.5,1300,1300,1300,1300,1300,1300,1350,1375,1350,1350,1400,1385,1350,1395,1397.5,1375,1400,1450,1450,1400,1385,1400,1400,1400,1450,1450,1500,1495,1450,1500,1512
Sunnyside,New York,NY,New York,Queens,116,,,,,,,,,,1475,1475,1475,1500,1525,1545,1550,1550,1550,1600,1575,1625,1550,1550,1550,1550,1550,1550,1550,1575,1625,1625,1625,1600,1650,1650,1650,1650,1695,1750,1750,1750,1750,1750,1750,1750,1800,1800,1850,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875,1875,1900,1900,1900,1900,1950,1900,1950,1962.5,1995,1950,2000,1900,1900,1900,1950,2050,2050,2000,1875,1950,1800,1800,1800,1855,1850,1850,1800,1800,1800,1825,1875,1872.5,1875,1810,1825,1850,1800
Greenwich Village,New York,NY,New York,New York,118,,,,,3422.5,3035,2950,2950,2800,2850,2850,2895,2995,2995,2900,2950,2962.5,2995,3000,3000,3000,3000,3100,3150,3100,3100,3195,3195,3100,3250,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3300,3350,3300,3370,3350,3400,3400,3400,3400,3400,3261,3300,3350,3395,3350,3300,3400,3395,3450,3300,3295,3250,3300,3450,3500,3482.5,3399.5,3400,3400,3399,3350,3350,3300,3225,3295,3250,3395,3395,3350,3300,3300,3400,3399.5,3350,3325,3395,3400,3400,3375,3400,3318,3300,3300,3450,3450,3400,3395,3399.5
Rego Park,New York,NY,New York,Queens,121,,,,,,,,,,,,,,1475,1450,1450,1495,1450,1495,1485,1504,1475,1475,1500,1525,1547,1550,1537,1575,1550,1595,1595,1575,1575,1575,1600,1650,1695,1695,1738,1767.5,1775,1742,1725,1700,1725,1700,1700,1700,1700,1750,1725,1750,1750,1795,1750,1744.5,1795,1800,1790,1800,1825,1850,1895,1885,1900,1875,1850,1850,1875,1875,1900,1895,1850,1875,1975,1849,1800,1850,1775,1800,1837.5,1800,1800,1800,1800,1800,1971,1900,1877,1850,1795,1797.5,1800,1845,1844,1800,1927.5
Morningside Heights,New York,NY,New York,New York,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2695,2795,2972.5,2595,2625,2995,2950,2875,2875,2887.5,2895,2850,2995,2799.5,2775,2800
Kew Gardens Hills,New York,NY,New York,Queens,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450,1500,1500,1500,1650,1725,1697.5,1550,1812.5,1797.5,1750,1650,1725,1550,1550,1550,1550,1550,1600,1550,1550,1600,1600,1600,1600,1600,1600,1650,1650,1650,1650,1650,1650,1650,1650,1650,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1725,1725,1725,1750,1750,1750,1750,1800
Morris Heights,New York,NY,New York,Bronx,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,1425,1450,1497.5,1450,1475,1475,1475,1482.5,1450,1495,1495,1495,1495,1537.5,1525,1595,1595,1500.5,1499,1572.5,1500,1500
Parkchester,New York,NY,New York,Bronx,130,,,,,,,,,,,,,,,,1025,1050,1000,975,1000,1000,1050,1050,1050,1100,1062.5,1100,1100,1100,1100,1100,1100,1100,1100,1075,1025,1012.5,1022,1050,1050,1100,1100,1100,1112.5,1100,1100,1100,1100,1150,1195,1175,1150,1200,1200,1200,1200,1200,1200,1250,1250,1250,1250,1250,1250,1250,1250,1300,1300,1300,1300,1300,1300,1300,1300,1350,1300,1350,1300,1350,1400,1400,1350,1375,1375,1400,1400,1400,1400,1400,1400,1400,1400,1400,1400,1425,1400,1400,1400
Woodhaven,New York,NY,New York,Queens,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1520,1600,1600,1600,1600,1587.5,1650,1675,1700,1700,1675,1612.5,1650,1650,1650,1650,1650,1650,1600,1650
Inwood,New York,NY,New York,New York,136,,,,,,,,,,,1250,1275,1250,1250,1272.5,1295,1300,1250,1250,1250,1275,1275,1250,1250,1275,1275,1295,1350,1350,1300,1300,1300,1300,1300,1325,1350,1350,1350,1350,1350,1375,1375,1375,1375,1395,1395,1395,1400,1450,1475,1450,1450,1450,1450,1437.5,1400,1450,1450,1450,1450,1400,1450,1495,1450,1400,1450,1450,1450,1412.5,1450,1450,1400,1400,1400,1450,1407.5,1400,1397.5,1425,1450,1500,1500,1550,1550,1600,1600,1600,1575,1550,1550,1554,1550,1500,1600,1575,1650,1654.5,1650
Norwood,New York,NY,New York,Bronx,137,,,,,,,,,,,,,,,,,,,,,,,,1050,1095,1050,1072.5,1100,1100,1025,1000,1050,1050,1075,1100,1150,1150,1100,1150,1195,1200,1150,1195,1195,1165,1150,1165,1195,1200,1200,1200,1200,1205,1200,1200,1200,1225,1225,1250,1250,1275,1275,1300,1300,1300,1300,1375,1375,1375,1350,1400,1400,1375,1362.5,1375,1350,1400,1350,1400,1395,1450,1350,1400,1450,1450,1450,1450,1450,1450,1450,1397.5,1400,1482.5,1500,1462.5,1400,1450,1450
Dyker Heights,New York,NY,New York,Kings,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1450,1400,1450,1450,1487.5,1500,1500,1500,1550,1550,1500,1525,1525,1500,1500,1575,1587,1600
Morris Park,New York,NY,New York,Bronx,141,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,1200,1200,1200,1200,1245,1245,1245,1250,1245,1200,1247.5,1250,1222.5,1200,1200,1200,1200,1200,1200,1200,1220,1265,1300,1300,1300,1300,1300,1300,1300,1300,1300,1325,1350,1350,1388,1400,1400,1400,1396,1400,1425,1425,1425,1450,1450,1450,1450,1450,1450,1500,1500,1500,1450,1475,1475,1550,1500,1500,1550,1575,1550,1525,1550,1500,1600,1575,1500,1550,1600,1600,1512.5
Throggs Neck,New York,NY,New York,Bronx,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,1350,1350,1450,1500,1400,1400,1500,1400,1400,1450,1450,1500,1500,1500,1500,1500,1500
Fort Greene,New York,NY,New York,Kings,155,,,,,,,,,,,,,,2316,2200,2277.5,2250,2348,2495,2375,2497.5,2481.5,2435,2364.5,2350,2400,2398.5,2400,2528,2499,2468,2500,2595,2613,2590,2595,2600,2630,2695,2675,2650,2645,2600,2625,2650,2650,2695,2696,2800,2750,2750,2750,2750,2750,2780,2776,2775,2900,2910,3000,3000,2950,2895,2895,2905,2891.5,2900,2893,2900,2920,2950,2900,2850,2872,2900,2850,2995,3088,3050,2747,2700,2817,2950,2990,3020,2995,2995,2995,2975,2871,2800,2800,2847,2795,3054.5,3104.5,3022.5,3059
Greenwood,New York,NY,New York,Kings,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850,1800,1850,1850,1850,1900,1950,1950,1950,1900,1850,1887.5,1975,2250,2300,2100,2000,2100,2000,1995,2000,2000,2100,2000,2000,1950,1950,2000,2025,1900,1975,1950,1900,2000,2000,1950,1900,1950,2000,1995,2000,2000,2000,1995,2000,2100,2200,2163.5,2000,1975,1900,1975,1975,2125,2249
Greenpoint,New York,NY,New York,Kings,160,,,,,,,,,,,,,,,1650,1650,1900,2000,2000,2150,2000,2050,1987.5,1950,2200,2000,2000,2100,2000,1850,1950,2000,2000,1900,1800,2000,2200,2200,2275,2600,2500,2497.5,2400,2400,2399.5,2300,2250,2300,2400,2400,2400,2400,2500,2500,2500,2475,2499,2350,2300,2500,2775,2500,2500,2500,2500,2550,2400,2400,2399,2350,2450,2500,2450,2495,2500,2475,2499,2495,2500,2300,2300,2300,2400,2400,2400,2500,2500,2400,2400,2300,2395,2297.5,2300,2295,2300,2300,2300,2366.5
Kingsbridge,New York,NY,New York,Bronx,161,,,,,,,,,,,,,,,1037.5,1075,1075,1062.5,1100,1100,1100,1100,1150,1195,1150,1100,1100,1100,1050,1100,1150,1150,1100,1100,1125,1150,1172.5,1200,1150,1200,1200,1200,1200,1200,1237,1200,1225,1250,1250,1275,1295,1300,1300,1300,1300,1300,1335,1350,1300,1300,1325,1325,1300,1350,1350,1325,1395,1400,1400,1400,1400,1400,1400,1400,1450,1450,1450,1450,1425,1450,1445.5,1498,1498,1450,1400,1450,1495,1545,1525,1499.5,1500,1500,1472.5,1500,1480,1500,1500,1495
Glendale,New York,NY,New York,Queens,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650,1550,1500,1550,1550,1599.5,1600,1575,1575,1649,1600,1600,1650,1650,1650,1650,1612.5,1600,1650,1650,1625
Prospect Lefferts Gardens,New York,NY,New York,Kings,166,,,,,,,,,,,,,,,1200,1200,1200,1200,1250,1250,1275,1350,1350,1300,1350,1375,1362.5,1400,1450,1400,1400,1400,1350,1475,1450,1450,1500,1499,1575,1550,1562.5,1500,1500,1450,1400,1400,1450,1450,1550,1550,1500,1550,1500,1500,1575,1600,1575,1595,1625,1695,1700,1650,1650,1650,1700,1700,1750,1700,1650,1675,1650,1650,1675,1750,1900,1900,2000,2323.5,2099.5,1800,1800,1800,1800,1800,1825,1800,1849,1850,1887.5,1868,1800,1912.5,1925,1925,1837.5,1850,1950,1950
Homecrest,New York,NY,New York,Kings,172,,,,,,,,,,,,,,,,,,,,,,,,,,1290,1325,1262.5,1290,1300,1312.5,1362.5,1350,1375,1400,1375,1300,1350,1350,1395,1400,1400,1400,1400,1350,1395,1400,1400,1400,1400,1400,1425,1450,1495,1485,1495,1500,1500,1500,1499.5,1550,1525,1500,1525,1542.5,1550,1550,1550,1550,1512.5,1550,1600,1575,1550,1600,1500,1600,1550,1550,1597,1600,1600,1600,1600,1600,1600,1650,1650,1649,1675,1700,1650,1649,1650,1600,1620,1600,1695
Fort Hamilton,New York,NY,New York,Kings,175,,,,,,,,,,,,,,,1375,1350,1350,1350,1350,1350,1300,1300,1350,1400,1400,1300,1350,1360,1400,1350,1350,1350,1350,1375,1450,1500,1450,1450,1425,1450,1467.5,1450,1455,1475,1500,1500,1500,1450,1450,1500,1450,1500,1500,1500,1500,1500,1525,1550,1500,1500,1500,1600,1600,1650,1650,1600,1600,1600,1600,1650,1650,1600,1600,1697.5,1650,1600,1637.5,1700,1700,1612.5,1650,1650,1650,1650,1650,1650,1650,1642.5,1600,1600,1650,1650,1650,1625,1637,1650,1650,1650
Financial District,New York,NY,New York,New York,182,,,,,,,,,3225,3050,2975,3000,3014,3077.5,3100,3125,3150,3125,3102.5,3100,3120,3150,3150,3195,3200,3282.5,3295,3300,3340,3300,3300,3300,3287,3255,3225,3200,3200,3250,3295,3295,3250,3295,3275,3295,3275,3285,3295,3295,3295,3295,3500,3500,3500,3500,3495,3430,3495,3525,3550,3600,3550,3550,3583,3572.5,3595,3500,3495,3495,3500,3523,3586.5,3575,3567.5,3592.5,3560,3530,3527.5,3525,3490,3495,3484,3500,3504,3550,3616.5,3636,3687,3670,3615,3550,3552,3559.5,3527.5,3570,3540,3575,3584,3680
Briarwood,New York,NY,New York,Queens,183,,,,,,,,,,,,,,,,,,1300,1300,1300,1300,1300,1300,1300,1325,1327.5,1350,1350,1350,1350,1350,1311,1300,1350,1350,1350,1350,1400,1375,1395,1375,1375,1375,1375,1400,1400,1400,1400,1449,1450,1475,1500,1500,1525,1495,1500,1495,1450,1450,1500,1500,1560,1560,1585,1562.5,1565,1650,1650,1600,1600,1625,1650,1650,1575,1600,1700,1650,1600,1550,1600,1600,1600,1675,1675,1650,1650,1725,1750,1700,1700,1699,1675,1685,1699,1700,1700,1700,1700
Brighton Beach,New York,NY,New York,Kings,185,,,,,,,,,,,,,,,,,1287.5,1300,1300,1295,1250,1275,1275,1300,1325,1325,1300,1325,1325,1329,1337.5,1375,1375,1370,1375,1375,1395,1375,1375,1375,1400,1375,1400,1400,1400,1425,1425,1425,1450,1500,1500,1450,1485,1495,1500,1500,1500,1497.5,1525,1750,1750,1600,1600,1637.5,1600,1600,1625,1650,1650,1625,1650,1749,1700,1700,1750,1750,1800,1800,1700,1675,1685,1675,1675,1850,1875,1875,1875,1850,1900,1875,1895,1849.5,1850,1850,1850,1850,1885,1895
Auburndale,New York,NY,New York,Queens,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1550,1525,1500,1525,1650,1562.5,1600,1650,1650,1650,1550,1575,1600,1600,1600,1600,1600,1575
Flatiron District,New York,NY,New York,New York,187,,,,,,,,,2750,2877,3000,3112,3290,3250,3150,3200,3295,3250,3320,3250,3300,3300,3280,3267,3300,3395,3495,3400,3397.5,3395,3395,3400,3395,3300,3400,3400,3400,3450,3450,3500,3595,3565,3550,3560,3595,3550,3500,3500,3647,3600,3850,3869,3903,3850,3850,3965,3977.5,3955,3967.5,4000,3951,3980,3995,4010,3975,3950,3850,3950,3915,3950,3950,3895,3925,3815,3700,3865,3805,3855,3836,3795,3850,3895,3965,3998,3995,3972.5,3985,4000,3950,3950,3945,3975,3975,3950,4000,4005,4133,4188
Pelham Bay,New York,NY,New York,Bronx,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,1200,1200,1200,1200,1150,1150,1200,1200,1200,1200,1225,1250,1250,1250,1250,1247,1250,1300,1300,1300,1300,1300,1300,1400,1350,1350,1350,1400,1399,1400,1400,1400,1400,1385,1400,1497.5,1400,1400,1450,1400,1400,1450,1462.5,1450,1495,1450,1495,1500,1472.5,1500,1500,1500,1550,1500,1500,1500,1450
Clinton Hill,New York,NY,New York,Kings,203,,,,,,,,,,,,,,,,,,,2095,1865,1895,1895,2150,2100,2200,2350,2000,2100,2000,2000,2000,1950,2000,2200,2300,2300,2492,2500,2400,2400,2500,2400,2400,2500,2300,2300,2300,2294,2400,2450,2400,2500,2500,2475,2400,2400,2441.5,2450,2441,2500,2700,2558.5,2475,2500,2500,2500,2400,2399.5,2425,2400,2400,2400,2500,2500,2600,2527,2500,2680,2597,2300,2400,2425.5,2400,2450,2425,2497.5,2500,2472,2454,2400,2430.5,2444,2406,2475,2500,2502.5,2550,2500
West Village,New York,NY,New York,New York,209,,,,,,,,3000,2895,3050,2895,3030,3150,3190,3000,3095,3095,3095,3000,3150,3200,3195,3200,3200,3300,3350,3450,3350,3500,3500,3495,3495,3495,3400,3395,3300,3450,3495,3495,3495,3500,3500,3550,3600,3600,3600,3599.5,3600,3695,3600,3500,3500,3495,3500,3500,3501.5,3550,3550,3595,3600,3595,3595,3550,3695,3600,3550,3526.5,3550,3595,3600,3612.5,3500,3572.5,3500,3672.5,3612.5,3500,3500,3500,3495,3595,3550,3595,3500,3595,3650,3650,3595,3600,3525,3467,3495,3500,3501.5,3575,3550,3595,3500
Kew Gardens,New York,NY,New York,Queens,210,,,,,,,,,,,,,,,,,,1400,1450,1399,1425,1400,1375,1375,1350,1375,1425,1400,1375,1400,1500,1412.5,1425,1475,1450,1485,1500,1537.5,1525,1575,1600,1575,1495,1525,1550,1575,1593,1600,1650,1607.5,1650,1625,1600,1650,1650,1650,1650,1695,1650,1700,1725,1750,1800,1850,1800,1750,1750,1747.5,1800,1800,1800,1795,1795,1800,1850,1825,1800,1800,1800,1800,1800,1700,1650,1650,1700,1700,1700,1725,1700,1700,1675,1675,1650,1700,1750,1718,1725,1750
Brooklyn Heights,New York,NY,New York,New York,214,,,,,,,,,,,,,,2564,2500,2502,2650,2660,2695,2700,2700,2700,2775,2750,2618,2600,2600,2550,2600,2700,2750,2775,2775,2900,2900,2900,2900,2895,2925,2950,3000,3000,2950,2950,2800,2800,2800,2800,2850,2800,2900,2950,3100,3080,2799,2800,2825,2750,2750,2825,3100,3000,2900,2950,3000,3000,3000,3095,3095,3000,2950,2800,2995,3000,2942.5,2850,3200,3146.5,2750,2750,2800,2897.5,2950,3010,3000,3000,2936.5,3010,3020,3020,3000,3005,2962.5,3000,2900,2900,2979,2998.5
Sutton Place,New York,NY,New York,New York,221,,,,,,,,,2350,2400,2590,2500,2597.5,2595,2575,2800,2600,2900,2900,2800,2800,2800,2887.5,2900,2800,2800,2895,2880,2900,2950,2900,2850,2850,2900,2950,2995,2975,2900,2895,2880,3100,3100,3070,3175,3195,3175,3099.5,3000,2895,3000,3350,3200,3300,3360,3350,3360,3300,3360,3382.5,3350,3297.5,3325,3350,3300,3350,3300,3295,3300,3350,3295,3370,3372.5,3350,3297.5,3300,3262.5,3275,3297.5,3300,3300,3321,3300,3350,3360,3400,3397.5,3300,3200,3350,3300,3300,3298,3300,3300,3300,3350,3297.5,3285
Unionport,New York,NY,New York,Bronx,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1412.5,1425,1425,1400,1400,1400,1400,1400,1400,1400,1445,1400,1375,1400,1425,1412.5,1450,1450
Gowanus,New York,NY,New York,Kings,233,,,,,,,,,,,,,,,,,,,,,,,1975,2050,2300,2250,2295,2272.5,2225,2300,2250,2400,2350,2350,2300,2400,2500,2400,2395,2500,2500,2500,2500,2597,2695,2500,2499,2499,2500,2500,2500,2597.5,2395,2323,2400,2400,2450,2495,2550,2500,2650,2650,2500,2600,2500,2500,2450,2450,2500,2500,2600,2600,2750,2595,2800,2900,2800,2800,2799,2700,2450,2672.5,2625,2600,2500,2695,2700,2635,2750,2725,2600,2600,2676.5,2600,2450,2550,2768,2800
Prospect Heights,New York,NY,New York,Kings,237,,,,,,,,,,,,,,,,,,,,,1800,1800,1900,2050,2095,1912.5,2000,2025,1900,1900,1850,1899,1850,1995,2100,2150,2100,2225,2200,2250,2100,2150,2250,2250,2200,2212.5,2250,2250,2395,2300,2300,2300,2350,2447.5,2485,2500,2495,2495,2500,2595,2600,2600,2525,2500,2495,2450,2400,2347.5,2300,2475,2500,2325,2300,2599,2400,2400,2400,2300,2300,2400,2500,2400,2700,2775,2700,2800,2800,2725,2624.5,2400,2437.5,2599,2587,2547.5,2475,2450,2637.5,2680
Turtle Bay,New York,NY,New York,New York,240,,,,,,,,,,2772.5,2750,2750,2750,2750,2800,2800,2850,2850,2900,2900,2800,2795,2795,2800,2800,2750,2800,2800,2750,2850,2900,2900,2900,2900,2895,2900,2900,2925,2950,2950,2900,2975,2900,2900,2900,2975,3000,3000,3000,3102.5,3200,3297.5,3195,3050,3200,3200,3200,3275,3325,3400,3262.5,3297.5,3100,3200,3100,3200,3250,3295,3200,3200,3175,3195,3197.5,3195,3100,3012.5,3200,3070,3000,3000,3037.5,3012.5,3097.5,3200,3230,3262.5,3100,2995,3095,3100,2997.5,3060,3000,3070,3000,3000,3147.5,3100
Midtown,New York,NY,New York,New York,241,,,,,3300,3150,3100,2800,2690,2500,2800,2800,2897.5,2950,2990,2999.5,3000,3100,3195,3095,3090,3150,3100,3100,3150,3195,3195,3200,3195,3228,3300,3297,3300,3236.5,3275,3300,3300,3300,3384,3294,3300,3250,3288,3300,3250,3300,3300,3295,3300,3384,3600,3595,3600,3590,3590.5,3595,3547,3595,3550,3542,3500,3500,3500,3550,3547.5,3500,3500,3495,3480.5,3475,3495,3500,3495,3500,3495,3495,3495,3467,3451,3450,3450,3454,3452,3460,3500,3500,3486,3495,3500,3490,3467,3431,3447.5,3495,3495,3458,3495,3541
Tribeca,New York,NY,New York,New York,254,,,,,,,,,,,,3775,3700,3753,3650,3597.5,3495,3395,3795,3760,3995,3995,3995,3975,3800,3800,3800,3895,3800,3790,3700,3905,3895,3795,3825,3895,3885,3995,4000,4025,3995,3895,3895,3995,3895,3895,3895,3895,3995,4195,4395,4395,4250,4350,4312.5,4375,4395,4295,4295,4295,4450,4395,4450,4525,4395,4295,4310,4295,4195,4350,4412.5,4412.5,4372.5,4295,4295,4295,4295,4250,4231,4212,4295,4350,4400,4325,4312.5,4350,4410,4395,4295,4100,4095,4195,4295,4272.5,4295,4395,4450,4450
Spuyten Duyvil,New York,NY,New York,Bronx,261,,,,,,,,,,,,,,,1800,1800,1800,1800,1750,1870,1850,1890,1850,1825,1825,1800,1750,1787.5,1800,1800,1805,1800,1850,1950,1900,1900,1900,1995,1995,1975,1987.5,1862.5,1775,1797.5,1850,1850,1812.5,1850,1850,1900,1912.5,1950,1975,1995,1995,1975,1975,1925,1900,1900,1900,1950,1900,1912.5,1950,1995,1995,1950,1950,1950,1925,1950,1862.5,1937.5,1950,1995,1950,1900,1825,1950,1995,1950,1950,1950,1950,1950,1975,1922.5,1995,1975,1950,1962.5,1900,1837.5,1881.5,1950,1962.5,1962.5
Carnegie Hill,New York,NY,New York,New York,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2900,2950,2800,2800,2700,2642.5,2700,2767.5,2660,2600,2600,2550,2617.5,2750,2692.5,2685,2600,2750
Tudor City,New York,NY,New York,New York,270,,,,,,,,,,,,2700,2700,2700,2800,2790,2800,2795,2800,2750,2800,2849,2800,2800,2800,2895,2900,2900,2900,2900,2900,2895,2800,2750,2800,2800,2750,2800,2850,2900,2900,2895,2850,2850,2895,2895,2900,2900,2900,2995,3200,3295,3150,3095,3150,3100,3195,3295,3297.5,3195,3125,3200,3312.5,3395,3150,3100,3295,3195,3150,3172.5,3175,3167.5,3172.5,3150,3000,3050,3150,2995,2995,2900,2800,2900,3050,3150,3125,3100,3000,3000,2837.5,2995,3050,3000,2974,3050,3050,3100,3440,3453.5
Battery Park,New York,NY,New York,New York,272,,,,,,,,,,,3000,3050,3100,3057.5,3250,3295,3300,3295,3350,3350,3395,3400,3285,3325,3350,3450,3550,3480,3500,3500,3500,3475,3400,3400,3425,3400,3477.5,3500,3500,3525,3568,3499.5,3495,3477.5,3495,3475,3425,3400,3425,3490,3735,3850,3942.5,3850,3850,3825,3745,3895,3900,3925,3999.5,4000,3942.5,3850,3985,3975,3917.5,3850,3812.5,3850,3895,3850,3900,3900,3850,3850,3750,3850,3850,3775,3837.5,3812.5,3800,3812.5,3837.5,3820,3760,3665,3587,3630,3598,3702.5,3665,3762.5,3825,3870,3760.5,3850
Carroll Gardens,New York,NY,New York,Kings,312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2700,2450,2400,2500,2400,2500,2500,2500,2500,2700,2599.5,2700,2650,2700,2500,2500,2500,2500,2500,2595,2595,2595,2600,2500,2500,2500,2600,2600,2550,2600,2575,2600,2650,2650,2700,2700,2800,2700,2700,2650,2550,2700,2700,2550,2500,2625,2800,2700,2600,2500,2510,2600,2650,2700,2600,2625,2675,2600,2550,2575,2700,2600,2597.5,2500,2500,2500,2600
Boerum Hill,New York,NY,New York,Kings,322,,,,,,,,,,,,,,,,,,,,,,,2775,2700,2650,2600,2800,2500,2600,2600,2600,2600,2800,3000,2949.5,2900,3100,3000,3100,3200,3100,2975,2700,2500,2500,2695,2675,2650,2800,2838,2774.5,3000,2850,3000,2950,2950,2900,2900,3000,3200,3200,3000,2950,2700,2700,2800,2700,2650,2800,2750,2612.5,2700,2650,3000,2800,2700,2700,2988,2521,2350,2400,2700,2700,2600,2650,2600,2700,2800,2800,2700,2650,2500,2425,2427.5,2450,2600,2800,2700
SoHo,New York,NY,New York,New York,339,,,,,,,,,2372.5,2350,2350,2400,2400,2500,2497.5,2500,2500,2600,2750,2900,2900,2795,2700,2700,2785,2850,2795,2700,2695,2750,2750,2700,2700,2700,2725,2700,2675,2695,2695,2750,2791,2795,2800,2695,2700,2700,2700,2750,2700,2800,2925,2895,2925,3028,3000,3000,3050,3000,3000,2895,2995,3000,3195,3000,3095,3200,3095,3095,3195,3000,3195,3195,3000,2995,2950,2900,2950,2950,2900,2800,2950,2995,3000,3195,3050,3000,2995,2995,2995,2995,2900,2850,2972.5,3000,3000,3200,3000,3000
